URL,Size in Bytes,# of outlinks found,Content-Type
https://www.nytimes.com/2020/09/23/sports/baseball/pandemic-obstructed-views.html,372360 Byte,41,text/html
https://www.nytimes.com/by/amy-harmon,621837 Byte,53,text/html
https://www.nytimes.com/section/business,630917 Byte,99,text/html
https://www.nytimes.com/2020/09/26/us/politics/north-carolina-voting.html,334536 Byte,57,text/html
https://www.nytimes.com/interactive/2020/us/west-virginia-coronavirus-cases.html,310779 Byte,173,text/html
https://www.nytimes.com/1987/10/24/politics/borks-nomination-is-rejected-5842-reagan-saddened.html,251158 Byte,35,text/html
https://www.nytimes.com/interactive/2020/us/wyoming-coronavirus-cases.html,310726 Byte,173,text/html
https://www.nytimes.com/2020/09/25/world/europe/switzerland-paternity-leave.html,301724 Byte,38,text/html
https://www.nytimes.com/2020/09/26/opinion/amy-coney-barrett-supreme-court.html,320806 Byte,54,text/html
https://www.nytimes.com/by/sui-lee-wee,332884 Byte,61,text/html
https://www.nytimes.com/by/maya-salam,254204 Byte,51,text/html
https://www.nytimes.com/interactive/2020/05/05/us/coronavirus-death-toll-us.html,223380 Byte,134,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-default-homescreen-57x57-43808a4cd5333b648057a01624d84960.png,1184 Byte,0,image/png
https://www.nytimes.com/by/danielle-ivory,561301 Byte,52,text/html
https://www.nytimes.com/2020/09/22/business/luxury-fashion-september-coronavirus.html,347119 Byte,64,text/html
https://www.nytimes.com/live/2020/09/26/us/trump-vs-biden?name=styln-scotus-nominations&region=TOP_BANNER&block=storyline_menu_recirc&action=click&pgtype=Article&impression_id=961a9202-0066-11eb-a358-5fd7bda3e0b7&variant=undefined,1048576 Byte,106,text/html
https://www.nytimes.com/interactive/2020/us/indiana-coronavirus-cases.html,313159 Byte,173,text/html
